number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
43,0.11463097832429188,2026-07-16 12:11:07.850368,2026-07-16 12:11:10.941556,0 days 00:00:03.091188,0.7787588420373595,9.580814032447063e-08,0.14484505250018248,10,9,0.909168845510611,1300,3.775944345205031e-08,0.04731627760674034,27.970153753165622,0.8720478618150637,COMPLETE
44,0.1298435383086913,2026-07-16 12:11:10.942792,2026-07-16 12:11:14.346457,0 days 00:00:03.403665,0.740634079167934,8.11839101246983e-05,0.07367510997589292,0,7,25.920991239666005,1400,3.1955933210381844e-06,0.009120168337003314,48.63329054491666,0.6065899841760238,COMPLETE
45,0.11435753840122066,2026-07-16 12:11:14.347402,2026-07-16 12:11:17.935651,0 days 00:00:03.588249,0.855725788195988,0.00010621089932951578,0.058771100673485496,0,5,7.519901203737501,1300,0.0012360801213005756,0.07127824832784774,68.35329386428336,0.6457161337826117,COMPLETE
46,0.07602502072287504,2026-07-16 12:11:17.937011,2026-07-16 12:11:19.366624,0 days 00:00:01.429613,0.8083014105864517,4.463126461602732e-05,0.09274677080156431,0,6,6.286715738659654,1100,3.848445911943079e-05,0.0016098665675457324,40.744905897365555,0.6106569426205517,PRUNED
47,0.12014499298748682,2026-07-16 12:11:19.367927,2026-07-16 12:11:23.252147,0 days 00:00:03.884220,0.8277914524387426,1.062975588489176e-08,0.02491565462248698,5,6,2.095741806501547,1300,1.9384315906148163e-06,0.003788730926208383,15.97647376088785,0.8930955803855367,COMPLETE
48,0.06402166978567538,2026-07-16 12:11:23.253205,2026-07-16 12:11:24.912100,0 days 00:00:01.658895,0.6777777724322476,2.953082846250554e-06,0.03943054314317361,0,8,21.628305019677146,1200,1.4836529325575291e-05,0.0050100894968653255,96.05210378775783,0.6068071034549992,PRUNED
49,0.0808268889337409,2026-07-16 12:11:24.913050,2026-07-16 12:11:27.245925,0 days 00:00:02.332875,0.742506638495558,0.00362860041902511,0.03754378910543074,1,6,1.0755453441924987,1600,2.4782805415551736e-07,0.03832747515262782,64.4235925404509,0.672804017016643,PRUNED
50,0.06857347078170173,2026-07-16 12:11:27.246865,2026-07-16 12:11:28.984685,0 days 00:00:01.737820,0.7149081269779698,0.04247769099466956,0.05610436590241396,0,8,23.16646561100686,1500,3.406793215396136e-07,0.035329821001904495,56.99773378718073,0.649035902931157,PRUNED
51,0.11885916244399264,2026-07-16 12:11:28.985676,2026-07-16 12:11:31.308383,0 days 00:00:02.322707,0.8985383629475059,7.292010635244965e-05,0.0773920042505657,10,8,27.77886330556005,1000,4.2503900009676915e-07,0.02869024001950869,23.64569299767674,0.8634808195617936,COMPLETE
52,0.11320562055728327,2026-07-16 12:11:31.309227,2026-07-16 12:11:33.247636,0 days 00:00:01.938409,0.9880513141957372,9.10375186020696e-08,0.11012898384405416,10,7,0.37066123022989406,1100,2.8442553332395298e-08,0.004046244554490858,18.431619608969715,0.8410404085153813,PRUNED
53,0.11053113956258438,2026-07-16 12:11:33.248652,2026-07-16 12:11:35.327376,0 days 00:00:02.078724,0.8539833104850932,0.00010462379358033391,0.14949275836193548,1,9,1.8336211001804312,1200,1.6391019330698464e-06,0.001999682791296549,18.98500613886935,0.7402238352471864,PRUNED
54,0.0782349595419424,2026-07-16 12:11:35.328196,2026-07-16 12:11:36.766833,0 days 00:00:01.438637,0.9563553993753888,2.2313385299813862e-05,0.13026723707649096,1,5,13.167432341748581,1500,1.7891408567767504e-08,0.060694086357116615,43.216153613060854,0.8164736627582803,PRUNED
55,0.13011909980210043,2026-07-16 12:11:36.767787,2026-07-16 12:11:39.629186,0 days 00:00:02.861399,0.7546878877812226,0.00737452627306804,0.1191473376090009,5,6,16.510077752843472,1400,2.7053726777557836e-06,0.0016183378095379888,31.127319546954368,0.6226316344413138,COMPLETE
56,0.07703014392774668,2026-07-16 12:11:39.630312,2026-07-16 12:11:41.019859,0 days 00:00:01.389547,0.734580926722858,0.020594009731005582,0.09371300655544901,5,5,14.904684401448774,1300,2.881474482755705e-06,0.010553351892389092,43.22405348941509,0.6995321248705938,PRUNED
57,0.12814410669592036,2026-07-16 12:11:41.020676,2026-07-16 12:11:45.066526,0 days 00:00:04.045850,0.9699257905848301,1.1228736300342836e-06,0.028339718181979712,5,9,5.307824486447703,1800,5.779915848555366e-07,0.023022019324274154,23.927996931573286,0.6877014093289675,COMPLETE
58,0.07686353124027714,2026-07-16 12:11:45.067386,2026-07-16 12:11:46.677062,0 days 00:00:01.609676,0.6816367750229725,0.005729488276802567,0.08640693697915061,2,7,6.38431126128404,1400,0.0014258243658653855,0.001170044880662879,36.7163989881688,0.6246914369608044,PRUNED
59,0.11335895972375044,2026-07-16 12:11:46.677905,2026-07-16 12:11:49.605816,0 days 00:00:02.927911,0.9984355658213976,0.00015156219824948334,0.015496204067810045,10,7,7.233976255231671,1600,7.097265372506662e-06,0.2402171587167614,21.088483474105022,0.7557183478456868,PRUNED
